,posted,neighborhood,listing_title,number_bedrooms,sqft,URL,price
0,2020-06-13 01:42, (Centre-ville de Montréal),"3 bedroom luxury appartment downtown montreal, all-inclusive !!",3,,https://montreal.craigslist.org/apa/d/montreal-3-bedroom-luxury-appartment/7140890124.html?lang=en&cc=us,2900
1,2020-06-13 01:38, (Côte-des-Neiges),Visite virtuelle Appartement à louer NDG 3 1/2,1,,https://montreal.craigslist.org/apa/d/cte-des-neiges-north-visite-virtuelle/7140891286.html?lang=en&cc=us,975
2,2020-06-13 01:37, (côte-des-neiges/NDG),NDG 3 1/2 (one bedroom apartment) heating + hot water included.,1,,https://montreal.craigslist.org/apa/d/cte-des-neiges-north-ndg-one-bedroom/7140891094.html?lang=en&cc=us,950
3,2020-06-13 01:36, (Centre-ville de Montréal),"4 bedroom apartment, luxurious, furnished and all included!!",4,,https://montreal.craigslist.org/apa/d/montreal-4-bedroom-apartment-luxurious/7140889920.html?lang=en&cc=us,3700
4,2020-06-13 01:35, (Le Plateau Mont-Royal),"4 bedroom apartment, luxurious, furnished and all included!!",4,,https://montreal.craigslist.org/apa/d/ahuntsic-southeast-4-bedroom-apartment/7140890896.html?lang=en&cc=us,2800
5,2020-06-13 01:33, (Le Plateau Mont-Royal),3 bedrooms apartment for rent - Plateau Mont-Royal (virtual tour),3,,https://montreal.craigslist.org/apa/d/ahuntsic-southeast-3-bedrooms-apartment/7140890570.html?lang=en&cc=us,1950
6,2020-06-13 01:32, (Centre-ville de Montréal),2 bedroom apartment for rent downtown montreal ALL INCLUSIVE !!!,2,,https://montreal.craigslist.org/apa/d/montreal-2-bedroom-apartment-for-rent/7140890338.html?lang=en&cc=us,2700
7,2020-06-13 01:27, (VILLE-MARIE),2 bedroom apartment for rent downtown montreal ALL INCLUSIVE !!!,2,,https://montreal.craigslist.org/apa/d/montreal-2-bedroom-apartment-for-rent/7140889477.html?lang=en&cc=us,2350
8,2020-06-13 01:25, (VILLE-MARIE),"1 bedroom suite, downtown montreal, All Furnished and all inclusive!",1,,https://montreal.craigslist.org/apa/d/montreal-1-bedroom-suite-downtown/7140889233.html?lang=en&cc=us,675
9,2020-06-13 01:24, (Hochelaga Maisonneuve (HOMA)),VIRTUAL TOUR apartment for rent 4 1/2 in homa,2,,https://montreal.craigslist.org/apa/d/hochelaga-virtual-tour-apartment-for/7140889067.html?lang=en&cc=us,1675
